Player,Span,Matches,Innings,Overs,Mdns,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
SC Williams (ZIM),2006-2023,68,64,183.0,0,1270,43,3/15,29.53,6.93,25.5,0,0,
Imran Anwar (BHR),2019-2023,43,42,130.3,3,1015,42,4/24,24.16,7.77,18.6,1,0,
Mashrafe Mortaza (BAN),2006-2017,54,53,189.5,1,1527,42,4/19,36.35,8.04,27.1,1,0,
B Muzarabani (ZIM),2018-2022,34,33,125.0,0,990,42,3/21,23.57,7.92,17.8,0,0,
KA Pollard (WI),2008-2022,101,63,142.4,0,1188,42,4/25,28.28,8.32,20.3,1,0,
C Rubagumya (RWN),2021-2023,52,43,118.4,2,865,42,3/14,20.59,7.28,16.9,0,0,
T van der Gugten (NED),2012-2022,42,41,127.5,0,939,42,3/9,22.35,7.34,18.2,0,0,
MA Baig (MWI),2019-2023,26,25,89.0,2,485,41,5/13,11.82,5.44,13.0,1,1,
AC Evans (SCOT),2015-2022,35,33,120.0,4,954,41,5/24,23.26,7.95,17.5,0,1,
Janak Prakash (SGP),2019-2023,37,37,126.2,1,1105,41,3/15,26.95,8.74,18.4,0,0,
OC McCoy (WI),2019-2023,31,30,103.3,1,876,41,6/17,21.36,8.46,15.1,2,1,
IO Okpe (NGA),2019-2023,35,34,99.5,3,611,41,3/8,14.90,6.12,14.6,0,0,
Sami Sohail (MWI),2019-2023,26,26,83.5,5,505,41,4/6,12.31,6.02,12.2,2,0,
Sompal Kami (NEP),2014-2023,45,45,145.1,4,995,41,3/20,24.26,6.85,21.2,0,0,
Virandeep Singh (MAL),2019-2023,64,43,113.2,4,578,41,4/10,14.09,5.10,16.5,1,0,
D Wiese (NAM/SA),2013-2022,39,39,132.5,0,986,41,5/23,24.04,7.42,19.4,0,1,
KOK Williams (WI),2016-2020,26,26,91.5,2,805,41,4/28,19.63,8.76,13.4,1,0,
Amjad Mahboob (SGP),2019-2023,30,30,101.4,1,843,40,3/20,21.07,8.29,15.2,0,0,
Bilal Muhammad (MLT),2021-2022,31,31,118.2,3,786,40,4/10,19.65,6.64,17.7,2,0,
Dawlat Zadran (AFG),2012-2019,34,34,123.3,2,980,40,4/44,24.50,7.93,18.5,1,0,
FJ Klaassen (NED),2018-2022,37,36,127.0,0,938,40,5/19,23.45,7.38,19.0,0,1,
EJB Miles (JER),2019-2023,33,33,107.0,1,696,40,3/10,17.40,6.50,16.0,0,0,
P Mishra (BUL),2019-2023,43,40,139.4,2,1068,40,5/16,26.70,7.64,20.9,0,1,
DG Blampied (JER),2019-2023,37,37,109.5,1,763,39,4/20,19.56,6.94,16.8,1,0,
RP Burl (ZIM),2018-2023,58,43,114.0,1,833,39,3/13,21.35,7.30,17.5,0,0,
Karim Janat (AFG),2016-2023,52,43,126.1,0,1011,39,5/11,25.92,8.01,19.4,0,1,
GJ Maxwell (AUS),2012-2022,98,66,144.1,0,1076,39,3/10,27.58,7.46,22.1,0,0,
AR Patel (IND),2015-2023,45,43,135.1,1,1022,39,3/9,26.20,7.56,20.7,0,0,
AD Russell (WI),2011-2021,67,56,148.3,0,1364,39,3/43,34.97,9.18,22.8,0,0,
Sayed Monib (KUW),2020-2023,28,27,89.2,0,736,39,4/16,18.87,8.23,13.7,1,0,
K Waiswa (UGA),2020-2023,55,28,82.0,2,611,39,4/14,15.66,7.45,12.6,2,0,
MG Johnson (AUS),2007-2013,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0,
Mahmudullah (BAN),2007-2022,121,70,140.5,2,1012,38,3/10,26.63,7.18,22.2,0,0,
AD Mathews (SL),2009-2021,78,61,171.3,4,1200,38,3/16,31.57,6.99,27.0,0,0,
A Nortje (SA),2019-2023,31,30,103.5,0,742,38,4/10,19.52,7.14,16.3,2,0,
Saad Bin Zafar (CAN),2019-2023,34,33,115.0,6,728,38,3/8,19.15,6.33,18.1,0,0,
Sikandar Raza (ZIM),2013-2022,66,55,141.0,1,1013,38,4/8,26.65,7.18,22.2,1,0,
DL Vettori (NZ),2007-2014,34,34,131.1,1,748,38,4/20,19.68,5.70,20.7,1,0,
Ahmed Raza (UAE),2014-2022,55,54,178.0,2,1178,37,5/19,31.83,6.61,28.8,0,1,
P Aho (NGA),2021-2023,29,29,91.3,6,475,37,6/5,12.83,5.19,14.8,1,1,
J Botha (SA),2006-2012,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0,
JH Davey (SCOT),2012-2022,31,30,108.5,0,887,37,4/18,23.97,8.15,17.6,2,0,
GJ Delany (IRE),2019-2023,61,47,136.3,1,1061,37,3/16,28.67,7.77,22.1,0,0,
BD Glover (NED),2019-2022,24,24,79.5,1,541,37,4/12,14.62,6.77,12.9,2,0,
MA Leask (SCOT),2013-2023,54,40,107.3,0,839,37,3/11,22.67,7.80,17.4,0,0,
Mohammad Naveed (UAE),2015-2019,31,31,114.4,5,729,37,3/14,19.70,6.35,18.5,0,0,
K Nassoro (TAN),2021-2023,49,39,111.2,3,694,37,4/14,18.75,6.23,18.0,1,0,
Shapoor Zadran (AFG),2010-2020,36,36,115.5,3,907,37,3/40,24.51,7.83,18.7,0,0,
Faheem Ashraf (PAK),2017-2023,48,46,128.1,1,981,36,3/5,27.25,7.65,21.3,0,0,
JP Faulkner (AUS),2012-2017,24,24,85.5,0,684,36,5/27,19.00,7.96,14.3,0,1,
LN Oluoch (KENYA),2013-2023,33,31,90.0,3,577,36,4/30,16.02,6.41,15.0,2,0,
VP Thamotharam (MLT),2020-2023,51,40,105.5,0,876,36,3/22,24.33,8.27,17.6,0,0,
S Veerapathiran (BHR),2020-2023,30,29,92.2,0,762,36,3/43,21.16,8.25,15.3,0,0,
AG Cremer (ZIM),2008-2018,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0,
AR Cusack (IRE),2008-2015,37,33,101.0,3,714,35,4/11,20.40,7.06,17.3,3,0,
Fareed Ahmad (AFG),2016-2023,28,27,84.3,0,714,35,3/14,20.40,8.44,14.4,0,0,
Hamid Hassan (AFG),2010-2021,25,25,90.4,2,580,35,4/22,16.57,6.39,15.5,1,0,
D Heyliger (CAN),2019-2023,32,32,100.4,0,705,35,5/16,20.14,7.00,17.2,2,1,
Mohammad Wasim (1) (PAK),2021-2023,27,27,85.1,0,692,35,4/24,19.77,8.12,14.6,2,0,
Mohammed Nadeem (QAT),2019-2022,33,33,115.0,1,759,35,4/10,21.68,6.60,19.7,1,0,
JDS Neesham (NZ),2012-2023,69,49,110.3,0,1010,35,3/16,28.85,9.14,18.9,0,0,
D Pretorius (SA),2017-2022,30,27,84.0,0,696,35,5/17,19.88,8.28,14.4,0,1,
Rizwan Butt (BHR),2022-2023,23,22,82.5,1,624,35,5/16,17.82,7.53,14.2,2,1,
B Ward (JER),2019-2023,31,30,105.3,3,627,35,4/18,17.91,5.94,18.0,1,0,
Aqib Iqbal (Aut),2019-2023,34,33,113.1,3,712,34,5/5,20.94,6.29,19.9,0,1,
NM Coulter-Nile (AUS),2013-2019,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0,
JJ Huo (MOZ),2019-2023,29,22,63.3,4,370,34,4/11,10.88,5.82,11.2,1,0,
Khizar Hayat (MAL),2020-2023,35,33,108.0,5,644,34,5/4,18.94,5.96,19.0,0,1,
WP Masakadza (ZIM),2015-2023,39,39,123.0,1,871,34,4/11,25.61,7.08,21.7,2,0,
Mohammad Saifuddin (BAN),2017-2022,34,34,116.5,0,1009,34,4/33,29.67,8.63,20.6,1,0,
M Mooketsi (BOT),2019-2023,34,33,119.0,2,775,34,3/16,22.79,6.51,21.0,0,0,
CH Morris (SA),2012-2019,23,23,83.0,3,697,34,4/27,20.50,8.39,14.6,1,0,
Nasum Ahmed (BAN),2021-2023,35,34,107.3,3,787,34,4/10,23.14,7.32,18.9,3,0,
A Nathwani (Aut),2019-2023,29,28,91.0,0,628,34,3/14,18.47,6.90,16.0,0,0,
Naveen-ul-Haq (AFG),2019-2023,27,27,86.5,1,704,34,3/21,20.70,8.10,15.3,0,0,
A Nehra (IND),2009-2017,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0,
R Ngarava (ZIM),2019-2023,34,34,121.0,5,942,34,2/13,27.70,7.78,21.3,0,0,
Shoriful Islam (BAN),2021-2023,31,30,99.1,0,838,34,3/21,24.64,8.45,17.5,0,0,
JJ Smit (NAM),2019-2022,32,27,96.0,1,655,34,6/10,19.26,6.82,16.9,0,1,
M Theekshana (SL),2021-2023,38,38,146.1,0,974,34,3/17,28.64,6.66,25.7,0,0,
V Vijh (LUX),2019-2023,35,33,102.0,0,808,34,4/19,23.76,7.92,18.0,1,0,
Wahab Riaz (PAK),2008-2020,36,35,118.2,2,971,34,3/18,28.55,8.20,20.8,0,0,
Amjad Javed (UAE),2014-2017,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0,
CBRLS Kumara (SL),2019-2023,26,25,90.4,1,755,33,3/7,22.87,8.32,16.4,0,0,
CB Mpofu (ZIM),2008-2020,32,32,115.4,0,1035,33,4/30,31.36,8.94,21.0,1,0,
Riazat Ali Shah (UGA),2019-2023,48,34,99.4,0,710,33,4/12,21.51,7.12,18.1,2,0,
JE Taylor (WI),2006-2018,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0,
SN Thakur (IND),2018-2022,25,24,84.2,0,772,33,4/27,23.39,9.15,15.3,1,0,
Umar Adam (MDV),2019-2023,30,27,84.4,1,685,33,3/17,20.75,8.09,15.3,0,0,
Aamir Kaleem (OMA),2015-2022,33,28,80.0,1,557,32,5/15,17.40,6.96,15.0,2,2,
