Player,Span,Matches,Innings,Overs,Mdns,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
V Ravindran (HUN),2023-2023,5,1,3.3,0,6,3,3/6,2.00,1.71,7.0,0,0,
WJR Robertson (JER),2019-2019,6,6,18.1,1,101,3,1/7,33.66,5.55,36.3,0,0,
D Robson (EST),2023-2023,2,2,7.5,0,54,3,2/32,18.00,6.89,15.6,0,0,
Sabir Ali (UAE),2022-2022,3,3,8.0,0,70,3,1/16,23.33,8.75,16.0,0,0,
Bilal Safdar (NOR),2021-2022,9,3,11.0,0,59,3,3/17,19.66,5.36,22.0,0,0,
Saqlain Ali (Belg),2019-2021,6,3,8.0,0,58,3,1/12,19.33,7.25,16.0,0,0,
P Sarraf (NEP),2019-2022,17,10,20.0,1,117,3,1/3,39.00,5.85,40.0,0,0,
IP Swaney (SGP),2022-2023,4,3,4.0,0,51,3,2/26,17.00,12.75,8.0,0,0,
M Sert (TKY),2019-2019,4,4,10.0,0,93,3,2/38,31.00,9.30,20.0,0,0,
Shahid Afridi (GER),2023-2023,7,5,12.0,0,126,3,2/32,42.00,10.50,24.0,0,0,
A Shahzad (ENG),2010-2011,3,3,11.0,0,97,3,2/38,32.33,8.81,22.0,0,0,
Shamsullah Ehsan (TKY),2022-2022,4,3,7.0,0,66,3,2/32,22.00,9.42,14.0,0,0,
R Sharma (IND),2012-2012,2,2,7.2,0,56,3,2/29,18.66,7.63,14.6,0,0,
DJM Short (AUS),2018-2020,23,9,19.0,0,151,3,1/13,50.33,7.94,38.0,0,0,
PM Siddle (AUS),2009-2010,2,2,8.0,0,58,3,2/24,19.33,7.25,16.0,0,0,
Sikander Zulfiqar (NED),2016-2019,11,7,10.0,0,79,3,1/9,26.33,7.90,20.0,0,0,
KM Silva (BRA),2019-2019,3,2,3.0,0,18,3,2/1,6.00,6.00,6.0,0,0,
C Smith (IOM),2021-2021,4,4,12.0,0,75,3,3/15,25.00,6.25,24.0,0,0,
G Smith (CAY),2022-2022,3,2,8.0,0,54,3,2/18,18.00,6.75,16.0,0,0,
Sohail Ahmad (CRT),2022-2023,9,6,10.0,0,135,3,2/63,45.00,13.50,20.0,0,0,
A Srivastav (Chile),2019-2019,4,3,8.0,0,73,3,2/28,24.33,9.12,16.0,0,0,
JH Stander (SCOT),2009-2012,11,7,13.3,0,156,3,2/24,52.00,11.55,27.0,0,0,
ADL Stokoe (IOM),2021-2021,4,4,12.0,0,67,3,2/15,22.33,5.58,24.0,0,0,
K Subramanian (SGP),2020-2020,1,1,4.0,0,27,3,3/27,9.00,6.75,8.0,0,0,
Suhail Sadiq (LUX),2019-2019,2,2,6.0,0,45,3,2/13,15.00,7.50,12.0,0,0,
M Swack (CAY),2022-2022,4,4,13.0,0,78,3,2/12,26.00,6.00,26.0,0,0,
Tahir Dar (BHR),2019-2019,4,4,14.0,0,128,3,2/31,42.66,9.14,28.0,0,0,
Tanveer Ahmed (HKG),2016-2017,5,5,13.3,0,116,3,2/29,38.66,8.59,27.0,0,0,
S Thakur (ROM),2021-2023,6,4,12.0,0,102,3,2/36,34.00,8.50,24.0,0,0,
R Thapliyal (Belg),2023-2023,2,2,6.0,0,63,3,2/41,21.00,10.50,12.0,0,0,
Tholal Mohamed Raya (MDV),2023-2023,2,2,5.0,1,19,3,2/7,6.33,3.80,10.0,0,0,
AC Thomas (SA),2007-2007,1,1,4.0,0,25,3,3/25,8.33,6.25,8.0,0,0,
S Toutai (Samoa),2023-2023,3,3,12.0,0,123,3,2/36,41.00,10.25,24.0,0,0,
DR Tuffey (NZ),2005-2010,3,3,10.0,0,93,3,2/16,31.00,9.30,20.0,0,0,
NL Ujawe (SVN),2022-2022,4,4,9.0,0,59,3,2/12,19.66,6.55,18.0,0,0,
Utkarsh Jain (CAM),2023-2023,3,3,9.0,0,72,3,2/31,24.00,8.00,18.0,0,0,
MB van Schelven (NED),2015-2015,2,2,7.0,0,30,3,2/22,10.00,4.28,14.0,0,0,
P Vekaria (RWN),2021-2021,8,7,21.0,0,157,3,1/15,52.33,7.47,42.0,0,0,
Waleed Rana (ITA),2022-2022,3,3,6.4,0,57,3,3/10,19.00,8.55,13.3,0,0,
T Wangchuk (BHU),2022-2023,8,8,19.0,0,160,3,2/28,53.33,8.42,38.0,0,0,
RR Watson (SCOT),2007-2010,10,5,10.0,0,92,3,1/4,30.66,9.20,20.0,0,0,
RM West (IRE),2009-2009,5,5,19.0,0,142,3,1/23,47.33,7.47,38.0,0,0,
M Whelan (GIBR),2022-2023,11,7,13.0,0,147,3,1/16,49.00,11.30,26.0,0,0,
SG Whittingham (SCOT),2018-2018,3,3,10.0,0,79,3,2/33,26.33,7.90,20.0,0,0,
Yasir Mohammad (USA),2021-2022,3,3,11.0,0,85,3,2/32,28.33,7.72,22.0,0,0,
KJ Young (Blz),2019-2021,9,4,13.0,0,109,3,2/37,36.33,8.38,26.0,0,0,
Younis Khan (PAK),2006-2010,25,1,3.4,0,18,3,3/18,6.00,4.90,7.3,0,0,
Zahid Hussain (CAN),2012-2012,3,3,9.3,0,47,3,3/16,15.66,4.94,19.0,0,0,
Zahid Mahmood (PAK),2021-2021,1,1,4.0,0,40,3,3/40,13.33,10.00,8.0,0,0,
Zahid Zadran (GER),2023-2023,5,5,15.0,0,158,3,2/34,52.66,10.53,30.0,0,0,
Zahir Khan (AFG),2023-2023,4,3,8.0,0,50,3,2/20,16.66,6.25,16.0,0,0,
Zaki Ul Hassan (Belg),2019-2019,3,3,9.0,0,56,3,1/12,18.66,6.22,18.0,0,0,
V Zanko (CRT),2023-2023,6,4,5.3,0,44,3,2/9,14.66,8.00,11.0,0,0,
Zeerak Chughtai (BUL),2023-2023,2,2,6.0,0,35,3,2/28,11.66,5.83,12.0,0,0,
Ziaur Rahman (BAN),2012-2014,14,7,12.3,0,127,3,1/16,42.33,10.16,25.0,0,0,
N Zimonjic (SRB),2021-2023,13,5,8.4,0,120,3,2/44,40.00,13.84,17.3,0,0,
Aamer Yamin (PAK),2015-2018,2,2,6.0,0,37,2,1/12,18.50,6.16,18.0,0,0,
YA Abdulla (SA),2009-2009,2,2,7.0,0,44,2,1/16,22.00,6.28,21.0,0,0,
Abdullah Sheikh (NOR),2019-2022,5,4,12.0,0,79,2,1/19,39.50,6.58,36.0,0,0,
Abhijeet Ahuja (HUN),2021-2023,19,1,2.0,1,8,2,2/8,4.00,4.00,6.0,0,0,
N Ahir (PAN),2021-2023,11,9,19.0,1,190,2,1/9,95.00,10.00,57.0,0,0,
Ahmadschah Ahmadzai (GER),2021-2021,1,1,2.0,0,24,2,2/24,12.00,12.00,6.0,0,0,
Ahmed Faiz (MAL),2019-2023,59,2,3.0,0,12,2,2/8,6.00,4.00,9.0,0,0,
Ali Waqar (CZK-R),2021-2021,6,6,18.0,0,152,2,1/19,76.00,8.44,54.0,0,0,
Alexandros Karvelas (GRC),2022-2022,4,4,14.0,0,100,2,1/13,50.00,7.14,42.0,0,0,
Ali Naqi (PORT),2019-2019,4,4,10.0,0,65,2,2/20,32.50,6.50,30.0,0,0,
Alok Kapali (BAN),2007-2011,7,2,5.0,0,35,2,2/12,17.50,7.00,15.0,0,0,
Anik Ahmed (ITA),2022-2022,4,4,9.0,0,76,2,2/31,38.00,8.44,27.0,0,0,
DNA Ankrah (GHA),2019-2019,4,4,12.0,1,85,2,1/21,42.50,7.08,36.0,0,0,
Aphsal Ashraf (KUW),2020-2020,5,2,5.0,0,41,2,2/35,20.50,8.20,15.0,0,0,
Apon Mustafizur (SRB),2019-2021,4,1,3.0,0,30,2,2/30,15.00,10.00,9.0,0,0,
S Arachchige (ITA),2019-2019,4,4,6.0,0,42,2,2/15,21.00,7.00,18.0,0,0,
SSD Arachchige (SL),2023-2023,1,1,3.3,0,26,2,2/26,13.00,7.42,10.5,0,0,
Aryan Lakra (UAE),2022-2022,5,2,6.0,0,38,2,1/14,19.00,6.33,18.0,0,0,
Ashfaq Ahmed (UAE),2018-2019,12,2,6.0,0,34,2,1/14,17.00,5.66,18.0,0,0,
Aswad Khan (BUL),2021-2021,3,3,5.0,0,58,2,2/16,29.00,11.60,15.0,0,0,
RD Atangana (CAM),2022-2022,6,4,14.0,0,103,2,1/16,51.50,7.35,42.0,0,0,
Aung Ko Ko (MYAN),2023-2023,3,2,5.0,0,36,2,2/21,18.00,7.20,15.0,0,0,
MO Bacarese (GIBR),2019-2023,4,3,12.0,0,51,2,1/15,25.50,4.25,36.0,0,0,
MM Baig (QAT),2023-2023,6,2,5.0,1,38,2,2/16,19.00,7.60,15.0,0,0,
LS Baker (WI),2008-2009,3,3,8.0,0,58,2,1/12,29.00,7.25,24.0,0,0,
JT Ball (ENG),2018-2018,2,2,7.0,0,83,2,1/39,41.50,11.85,21.0,0,0,
W Barresi (NED),2012-2019,42,3,5.4,0,49,2,1/3,24.50,8.64,17.0,0,0,
Basir Ahamad (NEP),2022-2022,2,2,6.0,0,49,2,2/30,24.50,8.16,18.0,0,0,
Bilal Tahir (KUW),2019-2023,26,2,7.0,0,39,2,1/17,19.50,5.57,21.0,0,0,
J Buchanan (CAY),2023-2023,3,3,6.0,0,40,2,2/13,20.00,6.66,18.0,0,0,
T Buri (THAI),2022-2022,1,1,2.0,0,12,2,2/12,6.00,6.00,6.0,0,0,
RJ Campbell (HKG),2016-2016,3,3,10.0,0,68,2,2/28,34.00,6.80,30.0,0,0,
M Campopiano (ITA),2022-2023,14,3,7.0,0,40,2,1/12,20.00,5.71,21.0,0,0,
P Chandran (Mex),2019-2019,3,2,4.0,0,45,2,1/22,22.50,11.25,12.0,0,0,
S Chaudhary (CZK-R),2022-2022,2,2,4.0,0,36,2,2/21,18.00,9.00,12.0,0,0,
JF Chester (SWA),2021-2021,4,2,5.0,0,51,2,2/33,25.50,10.20,15.0,0,0,
KM Dabengwa (ZIM),2006-2010,8,7,11.0,0,106,2,1/1,53.00,9.63,33.0,0,0,
DK Dahyabhai Ahir (PAN),2019-2019,2,2,3.0,0,27,2,2/11,13.50,9.00,9.0,0,0,
JWM Dalrymple (ENG),2006-2007,3,3,5.0,0,39,2,1/10,19.50,7.80,15.0,0,0,
Danish Aziz (PAK),2021-2021,2,1,3.0,0,29,2,2/29,14.50,9.66,9.0,0,0,
Dawlat Ahmadzai (AFG),2010-2010,2,2,4.0,0,46,2,1/21,23.00,11.50,12.0,0,0,
AS Dean (CAN),2008-2013,2,2,4.0,0,32,2,2/18,16.00,8.00,12.0,0,0,
AP Devcich (NZ),2013-2014,4,4,12.0,0,80,2,2/16,40.00,6.66,36.0,0,0,
LHD Dilhara (SL),2008-2008,2,2,5.0,0,30,2,2/6,15.00,6.00,15.0,0,0,
N Dipakkumar Patel (PAN),2019-2019,3,3,10.0,0,42,2,2/17,21.00,4.20,30.0,0,0,
A Dizija (SRB),2022-2023,16,4,10.1,0,128,2,1/17,64.00,12.59,30.5,0,0,
MR Dorgan (SRB),2021-2021,3,2,5.0,0,79,2,1/13,39.50,15.80,15.0,0,0,
K Dorji (BHU),2019-2019,2,2,7.0,0,69,2,2/45,34.50,9.85,21.0,0,0,
D Doyle-Calle (ESP),2022-2023,19,2,3.0,0,19,2,2/13,9.50,6.33,9.0,0,0,
Ehsan Nawaz (HKG),2014-2017,5,5,7.4,0,79,2,1/22,39.50,10.30,23.0,0,0,
Elias Hasan (EST),2022-2022,6,6,18.0,0,147,2,1/24,73.50,8.16,54.0,0,0,
AM Ellis (NZ),2012-2013,5,4,10.0,0,105,2,2/40,52.50,10.50,30.0,0,0,
AM Fernando (SL),2022-2022,3,3,10.0,0,113,2,1/34,56.50,11.30,30.0,0,0,
C Floyd (NED),2019-2022,4,4,11.0,0,102,2,1/14,51.00,9.27,33.0,0,0,
R Fox (Bhm),2022-2022,4,3,8.2,0,82,2,1/31,41.00,9.84,25.0,0,0,
LM Gabriel (LES),2022-2022,7,6,15.0,0,123,2,1/18,61.50,8.20,45.0,0,0,
MD Garratt (GIBR),2019-2021,8,3,7.5,0,63,2,1/12,31.50,8.04,23.5,0,0,
B Geeves (AUS),2009-2009,1,1,3.2,0,35,2,2/35,17.50,10.50,10.0,0,0,
S Ghimire (PORT),2023-2023,7,3,8.0,0,69,2,1/19,34.50,8.62,24.0,0,0,
D Gim (NGA),2019-2021,17,4,6.0,0,65,2,1/18,32.50,10.83,18.0,0,0,
M Gouws (GIBR),2022-2022,9,5,15.5,0,141,2,1/16,70.50,8.90,47.5,0,0,
MS Graham (Bhm),2021-2021,6,6,17.0,0,118,2,1/16,59.00,6.94,51.0,0,0,
L Gregory (ENG),2019-2021,9,5,13.0,0,117,2,1/10,58.50,9.00,39.0,0,0,
Gulsan Jha (NEP),2022-2023,4,3,9.0,0,42,2,1/8,21.00,4.66,27.0,0,0,
Gurdeep Singh (KENYA),2021-2021,10,3,6.0,0,57,2,2/16,28.50,9.50,18.0,0,0,
Hafez Farooq (Peru),2019-2019,4,1,2.0,0,14,2,2/14,7.00,7.00,6.0,0,0,
NM Hauritz (AUS),2009-2009,3,2,7.2,0,47,2,1/20,23.50,6.40,22.0,0,0,
PA Hitchcock (NZ),2008-2008,1,1,3.0,0,43,2,2/43,21.50,14.33,9.0,0,0,
KC Hodsoll (BER),2008-2021,4,4,9.0,0,59,2,2/19,29.50,6.55,27.0,0,0,
S Hongsi (THAI),2019-2023,5,4,5.0,0,67,2,1/11,33.50,13.40,15.0,0,0,
MJ Humphreys (IRE),2023-2023,1,1,2.0,0,10,2,2/10,5.00,5.00,6.0,0,0,
AA Hussein (TAN),2022-2022,2,2,6.0,0,55,2,1/27,27.50,9.16,18.0,0,0,
EH Hutchinson (USA),2019-2021,4,3,8.0,1,31,2,2/7,15.50,3.87,24.0,0,0,
Lee Hwanhee (SKOR),2022-2022,2,2,2.0,0,31,2,2/6,15.50,15.50,6.0,0,0,
A Ilaoa (Samoa),2023-2023,1,1,3.0,0,28,2,2/28,14.00,9.33,9.0,0,0,
Imran Ashraf (QAT),2019-2020,4,4,11.0,0,113,2,2/23,56.50,10.27,33.0,0,0,
Imran Khan (1) (PAK),2015-2015,3,3,12.0,0,106,2,2/35,53.00,8.83,36.0,0,0,
Imran Khan (PORT),2019-2022,9,5,13.0,0,83,2,1/13,41.50,6.38,39.0,0,0,
MM Iqbal (SCOT),2012-2013,6,3,8.0,0,59,2,2/15,29.50,7.37,24.0,0,0,
Asif Iqbal (SKOR),2022-2022,3,2,5.0,0,42,2,1/14,21.00,8.40,15.0,0,0,
AE Isesele (NGA),2022-2023,10,2,2.5,0,16,2,1/5,8.00,5.64,8.5,0,0,
Itibarshah Deedar (Aut),2022-2022,7,7,17.4,0,147,2,1/28,73.50,8.32,53.0,0,0,
D Jansen (IOM),2021-2023,12,6,16.5,0,118,2,1/21,59.00,7.00,50.5,0,0,
P Jayawickrama (SL),2021-2022,5,5,13.1,0,118,2,1/29,59.00,8.96,39.5,0,0,
M Jenkinson (Fin),2022-2023,5,2,6.0,0,51,2,2/11,25.50,8.50,18.0,0,0,
SH Johnson (AUS),2023-2023,2,2,7.3,0,62,2,2/33,31.00,8.26,22.5,0,0,
Joshua Asia (NGA),2022-2023,4,2,5.0,0,19,2,2/12,9.50,3.80,15.0,0,0,
Jubair Hossain (BAN),2015-2015,1,1,2.0,0,20,2,2/20,10.00,10.00,6.0,0,0,
Junaid Sheikh (NOR),2019-2019,5,5,16.0,1,104,2,1/21,52.00,6.50,48.0,0,0,
D Kalvin (SEY),2021-2022,11,6,14.0,0,129,2,2/19,64.50,9.21,42.0,0,0,
AB Kamara (SLE),2021-2021,9,4,7.0,0,43,2,2/12,21.50,6.14,21.0,0,0,
Kamran Shazad (UAE),2014-2014,3,3,8.4,0,77,2,2/19,38.50,8.88,26.0,0,0,
E Karimi (DEN),2023-2023,2,2,7.0,0,56,2,2/31,28.00,8.00,21.0,0,0,
D Kegasitswe (BOT),2019-2019,4,3,12.0,0,156,2,1/43,78.00,13.00,36.0,0,0,
CA Keita (Mali),2022-2022,7,1,4.0,0,31,2,2/31,15.50,7.75,12.0,0,0,
Khin Aye (MYAN),2023-2023,4,2,5.0,0,42,2,2/36,21.00,8.40,15.0,0,0,
Kim Daeyeon (SKOR),2022-2022,4,4,9.0,0,83,2,2/33,41.50,9.22,27.0,0,0,
AK Kitchen (NZ),2017-2018,5,3,6.0,0,46,2,1/3,23.00,7.66,18.0,0,0,
IGTR Kumara (MDV),2020-2020,3,2,5.0,0,45,2,2/32,22.50,9.00,15.0,0,0,
D Finau (Samoa),2022-2022,6,4,9.0,0,89,2,1/20,44.50,9.88,27.0,0,0,
W Landman (SWZ),2023-2023,3,2,4.0,0,49,2,2/37,24.50,12.25,12.0,0,0,
B Laughlin (AUS),2009-2013,3,3,11.5,0,118,2,1/32,59.00,9.97,35.5,0,0,
M Leporoporo (LES),2021-2021,4,3,6.0,0,64,2,1/8,32.00,10.66,18.0,0,0,
H Lin Oo (MYAN),2023-2023,4,3,6.0,0,57,2,2/40,28.50,9.50,18.0,0,0,
KS Lokuarachchi (SL),2012-2012,2,2,6.0,0,48,2,2/31,24.00,8.00,18.0,0,0,
J Louw (SA),2008-2009,2,2,7.0,0,54,2,2/36,27.00,7.71,21.0,0,0,
AJ McKay (NZ),2010-2010,2,2,5.4,0,31,2,2/20,15.50,5.47,17.0,0,0,
DSK Madushanka (SL),2018-2018,2,2,5.1,0,62,2,2/23,31.00,12.00,15.5,0,0,
R Mahajan (PHI),2019-2019,3,3,10.0,0,93,2,1/18,46.50,9.30,30.0,0,0,
GI Maiden (SCOT),2008-2008,3,3,10.0,0,58,2,1/20,29.00,5.80,30.0,0,0,
L Makgale (BOT),2023-2023,4,4,7.0,0,46,2,1/5,23.00,6.57,21.0,0,0,
D Manani (ROM),2019-2021,3,3,7.0,0,52,2,2/25,26.00,7.42,21.0,0,0,
A Manousis (GRC),2019-2022,11,3,7.0,0,51,2,1/14,25.50,7.28,21.0,0,0,
B Maphosa (BOT),2022-2023,10,7,14.4,0,125,2,1/10,62.50,8.52,44.0,0,0,
H Masakadza (ZIM),2006-2019,66,9,12.0,0,113,2,1/4,56.50,9.41,36.0,0,0,
P Masih (ROM),2020-2020,3,3,9.0,0,49,2,2/18,24.50,5.44,27.0,0,0,
MJ Mason (NZ),2006-2008,3,3,9.0,0,65,2,1/18,32.50,7.22,27.0,0,0,
DK Mathias (BHR),2022-2022,16,7,14.0,0,115,2,2/17,57.50,8.21,42.0,0,0,
Ma Qiancheng (CHN),2023-2023,4,3,8.5,0,36,2,1/9,18.00,4.07,26.5,0,0,
Z McLaughlin (CAY),2019-2019,3,3,7.1,0,54,2,2/30,27.00,7.53,21.5,0,0,
SC Meaker (ENG),2012-2012,2,2,7.5,0,70,2,1/28,35.00,8.93,23.5,0,0,
AJ Michael (Samoa),2019-2022,10,5,12.4,0,87,2,1/15,43.50,6.86,38.0,0,0,
Michael Charlie (PNG),2023-2023,2,2,5.0,0,28,2,1/12,14.00,5.60,15.0,0,0,
Mohammad Adnan (KSA),2019-2019,5,5,17.0,0,120,2,1/27,60.00,7.05,51.0,0,0,
Mohammed Faraazuddin (UAE),2023-2023,4,4,11.0,0,90,2,1/15,45.00,8.18,33.0,0,0,
A Mongar (BHU),2023-2023,2,2,3.0,1,11,2,2/6,5.50,3.66,9.0,0,0,
Mohsin Hub (Peru),2019-2019,4,3,9.0,0,39,2,1/14,19.50,4.33,27.0,0,0,
Muhammad Rafique (BHR),2019-2019,2,2,5.0,0,63,2,1/31,31.50,12.60,15.0,0,0,
Muhammet Kursat (TKY),2023-2023,4,3,5.0,0,35,2,2/17,17.50,7.00,15.0,0,0,
S Murari (CRC),2019-2019,3,3,10.0,0,52,2,1/10,26.00,5.20,30.0,0,0,
Naseem Khan (CRT),2022-2023,8,5,9.0,0,85,2,1/8,42.50,9.44,27.0,0,0,
M Nasim Baras (AFG),2015-2015,3,3,8.0,0,56,2,1/11,28.00,7.00,24.0,0,0,
Nawaf Ahmed (KUW),2019-2022,7,7,16.0,0,142,2,2/14,71.00,8.87,48.0,0,0,
A Ndlovu (ZIM),2019-2022,6,6,18.0,0,145,2,1/16,72.50,8.05,54.0,0,0,
N Ndouteng (CAM),2021-2022,2,1,4.0,0,58,2,2/58,29.00,14.50,12.0,0,0,
A Nel (SA),2005-2007,2,2,8.0,0,42,2,2/19,21.00,5.25,24.0,0,0,
Niaz Ali (HKG),2023-2023,5,5,12.4,0,101,2,1/25,50.50,7.97,38.0,0,0,
L Nussbaumer (GUE),2019-2019,1,1,4.0,0,44,2,2/44,22.00,11.00,12.0,0,0,
S Ogundipe (NGA),2021-2021,4,4,10.0,0,45,2,1/9,22.50,4.50,30.0,0,0,
DK Pallekonda (SVN),2022-2022,1,1,2.0,0,13,2,2/13,6.50,6.50,6.0,0,0,
MS Panesar (ENG),2007-2007,1,1,4.0,0,40,2,2/40,20.00,10.00,12.0,0,0,
Pargat Singh (CAN),2022-2023,12,4,7.0,0,70,2,2/25,35.00,10.00,21.0,0,0,
HH Patel (MWI),2019-2019,7,5,13.0,0,104,2,2/13,52.00,8.00,39.0,0,0,
FL Patel (PAN),2023-2023,6,4,8.0,0,85,2,1/12,42.50,10.62,24.0,0,0,
H Patel (CAN),2010-2021,15,6,11.5,0,97,2,2/23,48.50,8.19,35.5,0,0,
GD Phillips (NZ),2017-2023,63,8,14.3,0,104,2,1/11,52.00,7.17,43.5,0,0,
JE Pitcher (BER),2019-2023,9,6,13.0,0,102,2,1/21,51.00,7.84,39.0,0,0,
DBL Powell (WI),2007-2007,5,5,17.0,0,131,2,1/6,65.50,7.70,51.0,0,0,
Rakibul Hasan (BAN),2023-2023,3,3,7.0,0,55,2,1/12,27.50,7.85,21.0,0,0,
S Rakshit (CZK-R),2019-2019,6,5,12.5,0,99,2,1/11,49.50,7.71,38.5,0,0,
S Ravikumar (CRC),2019-2019,3,3,6.2,0,56,2,1/12,28.00,8.84,19.0,0,0,
Ravinderpal Singh (CAN),2019-2022,29,2,1.1,0,14,2,2/10,7.00,12.00,3.5,0,0,
Raza-ur-Rehman (CAN),2012-2013,5,3,9.0,0,58,2,2/16,29.00,6.44,27.0,0,0,
Razmal Shigiwal (Aut),2019-2023,39,3,8.0,0,54,2,2/28,27.00,6.75,24.0,0,0,
AJ Redmond (NZ),2009-2010,7,1,2.5,0,24,2,2/24,12.00,8.47,8.5,0,0,
S Rengarajan (CZK-R),2020-2020,3,2,5.0,0,50,2,1/21,25.00,10.00,15.0,0,0,
Rishad Hossain (BAN),2023-2023,3,2,6.0,0,41,2,1/19,20.50,6.83,18.0,0,0,
GA Rogers (SCOT),2008-2009,2,2,7.5,0,67,2,2/15,33.50,8.55,23.5,0,0,
IH Romaine (BER),2008-2008,2,2,3.4,0,21,2,2/2,10.50,5.72,11.0,0,0,
S Rukmal (SEY),2022-2022,7,5,17.0,0,112,2,2/18,56.00,6.58,51.0,0,0,
SI Runsewe (NGA),2019-2023,25,2,2.3,0,23,2,1/4,11.50,9.20,7.5,0,0,
JD Ryder (NZ),2008-2014,22,5,10.0,0,68,2,1/2,34.00,6.80,30.0,0,0,
Sadeeq Khan (ROM),2019-2019,3,3,12.0,0,63,2,1/21,31.50,5.25,36.0,0,0,
TK Saha (Fin),2019-2019,4,4,10.0,0,88,2,1/22,44.00,8.80,30.0,0,0,
Shahbaz Ahmed (IND),2023-2023,2,2,5.2,0,41,2,1/13,20.50,7.68,16.0,0,0,
E Samson (ISR),2022-2022,3,3,8.0,0,66,2,1/12,33.00,8.25,24.0,0,0,
Sandeep Nair (BUL),2022-2022,7,4,8.0,0,70,2,2/14,35.00,8.75,24.0,0,0,
Saqib Zulfiqar (NED),2018-2019,6,4,9.0,0,61,2,1/4,30.50,6.77,27.0,0,0,
Saran Aslam (DEN),2022-2023,10,3,7.0,0,48,2,2/14,24.00,6.85,21.0,0,0,
RR Sarwan (WI),2007-2010,18,1,2.0,0,10,2,2/10,5.00,5.00,6.0,0,0,
JE Scott (Bhm),2023-2023,4,3,9.0,0,57,2,2/23,28.50,6.33,27.0,0,0,
Shaffeq Muhammad (GRC),2019-2019,2,2,7.0,1,21,2,2/12,10.50,3.00,21.0,0,0,
Shakeel Ahmed (OMA),2023-2023,5,4,13.0,0,92,2,2/13,46.00,7.07,39.0,0,0,
RR Sharan (CAM),2023-2023,5,3,6.0,0,42,2,2/24,21.00,7.00,18.0,0,0,
Sharif Asadullah (UAE),2014-2014,1,1,3.0,0,21,2,2/21,10.50,7.00,9.0,0,0,
R Sharma (SGP),2023-2023,4,3,6.0,0,45,2,1/17,22.50,7.50,18.0,0,0,
Sheikh Rasik (HUN),2023-2023,2,2,5.0,1,23,2,1/10,11.50,4.60,15.0,0,0,
HB Shipley (NZ),2023-2023,5,4,13.0,0,141,2,1/25,70.50,10.84,39.0,0,0,
Shuvagata Hom (BAN),2016-2016,5,4,11.0,0,71,2,1/18,35.50,6.45,33.0,0,0,
Sikander Billah (BHR),2022-2022,7,4,7.4,0,52,2,1/9,26.00,6.78,23.0,0,0,
EHSN Silva (UAE),2014-2014,2,2,7.0,0,58,2,1/20,29.00,8.28,21.0,0,0,
Z Simpson (GIBR),2022-2022,2,1,2.5,0,32,2,2/32,16.00,11.29,8.5,0,0,
TJ Stephenson (Blz),2019-2021,4,4,7.0,0,51,2,2/12,25.50,7.28,21.0,0,0,
BK Stroud (STHEL),2022-2022,7,6,15.0,0,91,2,1/20,45.50,6.06,45.0,0,0,
Sufyan Mehmood (OMA),2015-2022,5,5,10.3,0,71,2,1/20,35.50,6.76,31.5,0,0,
PR Surve (INA),2022-2022,7,4,8.0,0,58,2,1/5,29.00,7.25,24.0,0,0,
S Tabuisulu (Fiji),2023-2023,4,4,16.0,0,112,2,2/23,56.00,7.00,48.0,0,0,
Taher Muhammad (SVN),2022-2022,4,4,9.0,0,73,2,1/17,36.50,8.11,27.0,0,0,
Tahir Patel (SWZ),2022-2022,6,6,20.2,0,140,2,1/20,70.00,6.88,61.0,0,0,
Tarun Yadav (BUL),2022-2022,3,3,3.5,0,21,2,2/7,10.50,5.47,11.5,0,0,
Tasaduq Hussain (SWE),2022-2022,3,3,9.0,0,64,2,1/18,32.00,7.11,27.0,0,0,
R Telemachus (SA),2006-2007,3,3,12.0,0,90,2,1/22,45.00,7.50,36.0,0,0,
T Yotharat (THAI),2022-2022,3,3,5.0,0,43,2,1/9,21.50,8.60,15.0,0,0,
S Thuraisingam (CAN),2008-2008,3,3,7.5,0,44,2,1/13,22.00,5.61,23.5,0,0,
Tian Sen Qun (CHN),2023-2023,4,4,11.5,0,86,2,1/9,43.00,7.26,35.5,0,0,
NT Tilak Varma (IND),2023-2023,10,2,4.0,0,22,2,1/5,11.00,5.50,12.0,0,0,
S Tosic (SRB),2021-2023,15,6,11.0,0,111,2,2/10,55.50,10.09,33.0,0,0,
CT Tremlett (ENG),2007-2007,1,1,4.0,0,45,2,2/45,22.50,11.25,12.0,0,0,
M Tuilaepa (Samoa),2023-2023,2,2,4.0,0,36,2,1/3,18.00,9.00,12.0,0,0,
T Turan (TKY),2019-2022,6,4,9.0,0,115,2,1/32,57.50,12.77,27.0,0,0,
Sana Ullah (SKOR),2022-2022,4,4,9.4,0,76,2,1/16,38.00,7.86,29.0,0,0,
Umair Sharif (KSA),2023-2023,8,6,14.0,0,117,2,1/7,58.50,8.35,42.0,0,0,
VL Mukesh (SEY),2021-2022,8,6,14.0,0,121,2,2/44,60.50,8.64,42.0,0,0,
CV Varun (IND),2021-2021,6,6,22.3,0,132,2,1/18,66.00,5.86,67.5,0,0,
AC Voges (AUS),2007-2013,7,1,2.0,0,5,2,2/5,2.50,2.50,6.0,0,0,
PV Vuniwaqa (Fiji),2022-2023,10,6,10.0,0,100,2,1/2,50.00,10.00,30.0,0,0,
