Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
Mirwais Ashraf (AFG),2009-2016,46,45,2009,1360,46,4/35,29.56,4.06,43.6,1,0,
Mohammad Asif (Asia/PAK),2005-2010,38,36,1941,1524,46,3/28,33.13,4.71,42.1,0,0,
SB O'Connor (NZ),1997-2000,38,38,1487,1396,46,5/39,30.34,5.63,32.3,1,2,
Samiullah Shinwari (AFG),2009-2019,84,65,2111,1729,46,4/31,37.58,4.91,45.8,1,0,
BC Strang (ZIM),1995-2001,49,48,2494,1718,46,6/20,37.34,4.13,54.2,1,1,
MR Whitney (AUS),1983-1993,38,38,2106,1249,46,4/34,27.15,3.55,45.7,2,0,
RDB Croft (ENG),1996-2001,50,49,2466,1743,45,3/51,38.73,4.24,54.8,0,0,
GF Labrooy (SL),1986-1992,44,44,2308,1876,45,5/57,41.68,4.87,51.2,1,1,
NO Miller (WI),2008-2018,50,46,2125,1660,45,4/43,36.88,4.68,47.2,2,0,
CM Old (ENG),1973-1981,32,31,1755,999,45,4/8,22.20,3.41,39.0,2,0,
H Osinde (CAN),2006-2013,42,41,1692,1389,45,4/26,30.86,4.92,37.6,2,0,
DN Patel (NZ),1987-1997,75,69,3251,2261,45,3/22,50.24,4.17,72.2,0,0,
EC Rainsford (ZIM),2004-2010,39,39,1907,1401,45,5/36,31.13,4.40,42.3,1,1,
M Theekshana (SL),2021-2023,28,28,1435,1091,45,4/25,24.24,4.56,31.8,4,0,
AR Whittall (ZIM),1996-2000,63,62,3085,2251,45,3/23,50.02,4.37,68.5,0,0,
HS Baidwan (CAN),2008-2014,32,32,1551,1348,44,3/19,30.63,5.21,35.2,0,0,
SP Davis (AUS),1986-1988,39,39,2016,1133,44,3/10,25.75,3.37,45.8,0,0,
DM de Silva (SL),2016-2023,84,69,2148,1808,44,3/32,41.09,5.05,48.8,0,0,
S Elworthy (SA),1998-2002,39,37,1702,1235,44,3/17,28.06,4.35,38.6,0,0,
AH Gray (WI),1985-1991,25,24,1270,835,44,6/50,18.97,3.94,28.8,2,1,
RJ Harris (AUS),2009-2012,21,20,1031,832,44,5/19,18.90,4.84,23.4,0,3,
Imad Wasim (PAK),2015-2020,55,53,2403,1957,44,5/14,44.47,4.88,54.6,0,1,
VJ Marks (ENG),1980-1988,34,32,1838,1135,44,5/20,25.79,3.70,41.7,0,2,
Nazmul Hossain (BAN),2004-2012,38,37,1649,1386,44,4/40,31.50,5.04,37.4,1,0,
DR Pringle (ENG),1982-1993,44,44,2379,1677,44,4/42,38.11,4.22,54.0,1,0,
RP Snell (SA),1991-1996,42,42,2095,1574,44,5/40,35.77,4.50,47.6,2,1,
MP Stoinis (AUS),2015-2023,65,58,1951,1927,44,3/16,43.79,5.92,44.3,0,0,
DP Viljoen (ZIM),1997-2001,53,46,2075,1639,44,3/20,37.25,4.73,47.1,0,0,
JC Adams (WI),1992-2001,127,56,1856,1499,43,5/37,34.86,4.84,43.1,0,1,
CR Brathwaite (WI),2011-2019,44,40,1825,1766,43,5/27,41.06,5.80,42.4,2,1,
Shapoor Zadran (AFG),2009-2019,44,44,1983,1589,43,4/24,36.95,4.80,46.1,2,0,
PR Stirling (IRE),2008-2023,156,76,2441,1942,43,6/55,45.16,4.77,56.7,1,1,
