Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
A McGrath (ENG),2003-2004,14,7,228,175,4,1/13,43.75,4.60,57.0,0,0,
LD Madushanka (SL),2017-2017,4,4,144,172,4,2/70,43.00,7.16,36.0,0,0,
T Maruma (ZIM),2007-2021,22,9,225,230,4,2/50,57.50,6.13,56.2,0,0,
CE McConchie (NZ),2023-2023,6,5,168,135,4,2/18,33.75,4.82,42.0,0,0,
Mehrab Hossain jnr (BAN),2006-2009,18,10,253,214,4,2/30,53.50,5.07,63.2,0,0,
RTM Mendis (SL),2021-2022,4,3,72,74,4,2/26,18.50,6.16,18.0,0,0,
EJB Miles (JER),2023-2023,4,4,174,165,4,2/32,41.25,5.68,43.5,0,0,
JP Millmow (NZ),1990-1990,5,5,270,232,4,2/22,58.00,5.15,67.5,0,0,
Mohammad Talha (PAK),2014-2014,3,3,122,146,4,2/22,36.50,7.18,30.5,0,0,
Mosharraf Hossain (BAN),2008-2016,5,5,198,147,4,3/24,36.75,4.45,49.5,0,0,
Mukesh Kumar (IND),2023-2023,3,3,90,69,4,3/30,17.25,4.60,22.5,0,0,
AMN Munasinghe (SL),1994-1996,5,5,217,146,4,3/30,36.50,4.03,54.2,0,0,
Nizakat Khan (HKG),2014-2018,20,6,145,119,4,1/11,29.75,4.92,36.2,0,0,
G Onions (ENG),2009-2009,4,4,204,185,4,2/58,46.25,5.44,51.0,0,0,
SD Parry (ENG),2014-2014,2,2,114,92,4,3/32,23.00,4.84,28.5,0,0,
BJ Patel (KENYA),2001-2006,31,8,165,163,4,2/20,40.75,5.92,41.2,0,0,
D Paterson (SA),2017-2019,4,4,209,217,4,3/44,54.25,6.22,52.2,0,0,
A Phillip (WI),2021-2022,5,5,195,207,4,2/50,51.75,6.36,48.7,0,0,
MR Ramprakash (ENG),1991-2001,18,5,132,108,4,3/28,27.00,4.90,33.0,0,0,
B Regmi (NEP),2018-2019,4,4,174,117,4,2/49,29.25,4.03,43.5,0,0,
AM Salvi (IND),2003-2003,4,4,172,120,4,2/15,30.00,4.18,43.0,0,0,
JA Samarasekera (UAE),1994-1996,7,7,294,236,4,1/17,59.00,4.81,73.5,0,0,
P Sarraf (NEP),2019-2022,8,6,166,129,4,2/45,32.25,4.66,41.5,0,0,
Shaiman Anwar (UAE),2014-2019,40,7,117,134,4,3/61,33.50,6.87,29.2,0,0,
V Shankar (IND),2019-2019,12,9,233,210,4,2/15,52.50,5.40,58.2,0,0,
Sheikh Salahuddin (BAN),1997-1997,6,6,246,249,4,2/48,62.25,6.07,61.5,0,0,
JT Smuts (SA),2020-2021,6,4,180,164,4,2/42,41.00,5.46,45.0,0,0,
ED Solkar (IND),1974-1976,7,6,252,169,4,2/31,42.25,4.02,63.0,0,0,
BR Taylor (NZ),1973-1973,2,2,114,62,4,3/25,15.50,3.26,28.5,0,0,
DJ Terbrugge (SA),2000-2000,4,4,126,105,4,4/20,26.25,5.00,31.5,1,0,
ME Trescothick (ENG),2000-2006,123,13,232,219,4,2/7,54.75,5.66,58.0,0,0,
AJ Tudor (ENG),2002-2002,3,3,127,136,4,2/30,34.00,6.42,31.7,0,0,
RG Twose (NZ),1995-2001,87,11,272,235,4,2/31,58.75,5.18,68.0,0,0,
PS Vaidya (IND),1995-1996,4,4,184,174,4,2/41,43.50,5.67,46.0,0,0,
LP van Troost (NED),2002-2007,23,11,246,280,4,2/29,70.00,6.82,61.5,0,0,
MDJ Walker (NZ),2003-2003,3,3,132,119,4,4/49,29.75,5.40,33.0,1,0,
KD Walters (AUS),1971-1981,28,10,314,273,4,2/24,68.25,5.21,78.5,0,0,
RJ Webb (NZ),1983-1983,3,3,161,105,4,2/28,26.25,3.91,40.2,0,0,
JW Wilson (NZ),1993-2005,6,6,242,260,4,2/21,65.00,6.44,60.5,0,0,
Yasir Arafat (PAK),2000-2009,11,10,414,373,4,1/28,93.25,5.40,103.5,0,0,
B Yograj Singh (IND),1980-1981,6,5,244,186,4,2/44,46.50,4.57,61.0,0,0,
Zaheer Maqsood (UAE),2015-2015,2,2,120,116,4,2/56,29.00,5.80,30.0,0,0,
Zahid Mahmood (PAK),2022-2022,4,4,216,220,4,2/59,55.00,6.11,54.0,0,0,
Zulfiqar Ali (EAf),1975-1975,3,3,210,166,4,3/63,41.50,4.74,52.5,0,0,
Zulfiqar Babar (PAK),2014-2015,5,5,294,246,4,2/52,61.50,5.02,73.5,0,0,
Aamer Malik (PAK),1988-1994,24,5,120,86,3,2/35,28.66,4.30,40.0,0,0,
JS Ababu (KENYA),1999-2006,9,8,288,255,3,1/26,85.00,5.31,96.0,0,0,
Abu Hider (BAN),2018-2018,2,2,108,89,3,2/50,29.66,4.94,36.0,0,0,
Afif Hossain (BAN),2020-2023,30,9,88,74,3,1/0,24.66,5.04,29.3,0,0,
JP Agnew (ENG),1985-1985,3,3,126,120,3,3/38,40.00,5.71,42.0,0,0,
Akif Raja (UAE),2022-2022,5,5,228,160,3,1/19,53.33,4.21,76.0,0,0,
CR Amini (PNG),2014-2014,2,2,108,79,3,2/33,26.33,4.38,36.0,0,0,
HAG Anthony (WI),1995-1995,3,3,156,143,3,2/47,47.66,5.50,52.0,0,0,
Asghar Afghan (AFG),2009-2021,114,7,139,91,3,1/1,30.33,3.92,46.3,0,0,
Avesh Khan (IND),2022-2022,5,5,213,214,3,3/66,71.33,6.02,71.0,0,0,
AM Bacher (SA),1997-2005,13,3,108,64,3,2/36,21.33,3.55,36.0,0,0,
HK Badani (IND),2000-2004,40,9,183,149,3,1/7,49.66,4.88,61.0,0,0,
PJ Bakker (NED),1996-1996,5,5,258,215,3,2/51,71.66,5.00,86.0,0,0,
RL Bhudia (KENYA),2008-2009,5,5,180,151,3,2/42,50.33,5.03,60.0,0,0,
Bhupinder Singh snr (IND),1994-1994,2,2,102,78,3,3/34,26.00,4.58,34.0,0,0,
RJ Bright (AUS),1974-1986,11,10,462,350,3,1/28,116.66,4.54,154.0,0,0,
AJ Burger (NAM),2003-2003,6,5,96,104,3,1/18,34.66,6.50,32.0,0,0,
DK Butler (WI),2005-2006,5,5,246,188,3,1/25,62.66,4.58,82.0,0,0,
SJ Cameron (SCOT),2018-2018,2,2,109,123,3,2/64,41.00,6.77,36.3,0,0,
PE Cantrell (NED),1996-1996,5,5,186,170,3,1/18,56.66,5.48,62.0,0,0,
RD Chahar (IND),2021-2021,1,1,60,54,3,3/54,18.00,5.40,20.0,0,0,
BS Chandrasekhar (IND),1976-1976,1,1,56,36,3,3/36,12.00,3.85,18.6,0,0,
U Chatterjee (IND),1995-1995,3,3,161,117,3,2/35,39.00,4.36,53.6,0,0,
TL Chivanga (ZIM),2022-2022,5,5,218,197,3,1/38,65.66,5.42,72.6,0,0,
WM Clark (AUS),1978-1978,2,2,100,61,3,2/39,20.33,3.66,33.3,0,0,
NA de Groot (CAN),2003-2003,6,3,81,88,3,2/45,29.33,6.51,27.0,0,0,
RL Dias (SL),1979-1987,58,6,56,70,3,3/25,23.33,7.50,18.6,0,0,
BL D'Oliveira (ENG),1971-1972,4,4,204,140,3,1/19,46.66,4.11,68.0,0,0,
KG Duers (ZIM),1992-1992,6,6,300,256,3,1/17,85.33,5.12,100.0,0,0,
Ehsanul Haque (BAN),2002-2003,6,3,141,113,3,2/34,37.66,4.80,47.0,0,0,
Fawad Ahmed (AUS),2013-2013,3,3,144,145,3,1/39,48.33,6.04,48.0,0,0,
IS Gallage (SL),1999-2001,3,3,144,115,3,2/42,38.33,4.79,48.0,0,0,
JC Gamage (SL),1995-1995,4,4,132,104,3,2/17,34.66,4.72,44.0,0,0,
B Geeves (AUS),2008-2009,2,2,90,78,3,2/11,26.00,5.20,30.0,0,0,
RS Ghai (IND),1984-1986,6,6,275,260,3,1/38,86.66,5.67,91.6,0,0,
AP Grayson (ENG),2000-2001,2,2,90,60,3,3/40,20.00,4.00,30.0,0,0,
Haafiz Shahid (PAK),1988-1988,3,3,127,112,3,2/56,37.33,5.29,42.3,0,0,
GM Hamilton (SCOT),1999-2010,38,6,220,160,3,2/36,53.33,4.36,73.3,0,0,
PL Harris (SA),2008-2008,3,3,180,83,3,2/30,27.66,2.76,60.0,0,0,
Hasti Gul (AFG),2009-2009,2,2,114,73,3,2/48,24.33,3.84,38.0,0,0,
H Hiri (PNG),2016-2023,34,7,102,113,3,1/6,37.66,6.64,34.0,0,0,
KC Hodsoll (BER),2007-2008,3,3,102,100,3,2/48,33.33,5.88,34.0,0,0,
DJ Hooda (IND),2022-2022,10,6,150,119,3,1/6,39.66,4.76,50.0,0,0,
CK Hooper (CAN),2007-2010,5,5,169,181,3,1/17,60.33,6.42,56.3,0,0,
GP Howarth (NZ),1975-1985,70,7,90,68,3,1/4,22.66,4.53,30.0,0,0,
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,6,58,64,3,1/0,21.33,6.62,19.3,0,0,
Iqbal Sikander (PAK),1992-1992,4,4,210,147,3,1/30,49.00,4.20,70.0,0,0,
SD Jack (SA),1994-1995,2,2,108,86,3,2/41,28.66,4.77,36.0,0,0,
GSNFG Jayasuriya (SL),2015-2019,12,11,312,277,3,1/15,92.33,5.32,104.0,0,0,
DM Jones (AUS),1984-1994,164,8,106,81,3,2/34,27.00,4.58,35.3,0,0,
Junaid Zia (PAK),2003-2003,4,4,145,127,3,3/21,42.33,5.25,48.3,0,0,
AI Kallicharran (WI),1973-1981,31,4,105,64,3,2/10,21.33,3.65,35.0,0,0,
Kamran Hussain (PAK),2008-2008,2,2,102,67,3,2/32,22.33,3.94,34.0,0,0,
Khalid Khan (HKG),2004-2004,2,2,108,93,3,2/62,31.00,5.16,36.0,0,0,
BL Kotze (NAM),2003-2003,5,5,258,276,3,2/51,92.00,6.41,86.0,0,0,
BP Kruger (NED),2010-2011,5,5,184,131,3,3/21,43.66,4.27,61.3,0,0,
SH Lewis (WI),2022-2022,1,1,59,67,3,3/67,22.33,6.81,19.6,0,0,
GF Linde (SA),2021-2021,2,2,90,72,3,2/32,24.00,4.80,30.0,0,0,
DSK Madushanka (SL),2018-2018,1,1,37,26,3,3/26,8.66,4.21,12.3,0,0,
RAL Massie (AUS),1972-1972,3,3,183,129,3,2/35,43.00,4.22,61.0,0,0,
CM McBride (SCOT),2022-2023,18,7,132,100,3,1/10,33.33,4.54,44.0,0,0,
Mehmood Quaraishy (EAf),1975-1975,3,2,108,94,3,2/55,31.33,5.22,36.0,0,0,
JM Mennie (AUS),2016-2016,2,2,120,131,3,3/49,43.66,6.55,40.0,0,0,
PL Mhambrey (IND),1996-1998,3,3,126,120,3,2/69,40.00,5.71,42.0,0,0,
A Mithun (IND),2010-2011,5,5,180,203,3,2/32,67.66,6.76,60.0,0,0,
Mohammad Nazir (PAK),1980-1984,4,4,222,156,3,2/37,52.00,4.21,74.0,0,0,
GMC Mol (NED),2007-2008,6,6,162,111,3,2/23,37.00,4.11,54.0,0,0,
N M'shangwe (ZIM),2011-2014,6,6,336,260,3,2/50,86.66,4.64,112.0,0,0,
Najeeb Amar (HKG),2004-2008,4,4,240,172,3,2/40,57.33,4.30,80.0,0,0,
Nasir Aziz (UAE),2014-2015,5,5,264,257,3,1/50,85.66,5.84,88.0,0,0,
T Natarajan (IND),2020-2021,2,2,120,143,3,2/70,47.66,7.15,40.0,0,0,
N Ncube (ZIM),2011-2011,1,1,53,69,3,3/69,23.00,7.81,17.6,0,0,
MG Neser (AUS),2018-2023,4,4,220,239,3,2/46,79.66,6.51,73.3,0,0,
RG Nijman (NED),2009-2009,1,1,49,31,3,3/31,10.33,3.79,16.3,0,0,
D Olivier (SA),2019-2019,2,2,114,124,3,2/73,41.33,6.52,38.0,0,0,
A Patel (CAN),2003-2003,2,2,60,73,3,3/41,24.33,7.30,20.0,0,0,
Pervez Mir (PAK),1975-1977,3,3,122,77,3,1/17,25.66,3.78,40.6,0,0,
RT Ponting (AUS/ICC),1995-2012,375,5,150,104,3,1/12,34.66,4.16,50.0,0,0,
GD Porter (AUS),1979-1979,2,2,108,33,3,2/13,11.00,1.83,36.0,0,0,
R Powell (WI),2016-2023,51,15,280,275,3,1/7,91.66,5.89,93.3,0,0,
Pramod Madushan (SL),2022-2023,3,3,72,92,3,2/58,30.66,7.66,24.0,0,0,
Qais Ahmad (AFG),2022-2022,1,1,46,32,3,3/32,10.66,4.17,15.3,0,0,
D Ramnarine (WI),1997-2001,4,4,200,164,3,2/52,54.66,4.92,66.6,0,0,
SK Ranasinghe (SL),1986-1986,4,4,126,96,3,1/28,32.00,4.57,42.0,0,0,
AT Rayudu (IND),2013-2019,55,9,121,124,3,1/5,41.33,6.14,40.3,0,0,
Sabbir Rahman (BAN),2014-2019,66,21,306,345,3,1/12,115.00,6.76,102.0,0,0,
Sabir Ali (UAE),2022-2023,4,4,102,91,3,2/50,30.33,5.35,34.0,0,0,
Shahbaz Ahmed (IND),2022-2022,3,3,156,125,3,2/32,41.66,4.80,52.0,0,0,
Saleem Raza (UAE),1994-1996,6,6,192,179,3,1/17,59.66,5.59,64.0,0,0,
GS Sandhu (AUS),2015-2015,2,2,120,107,3,2/49,35.66,5.35,40.0,0,0,
Sarandeep Singh (IND),2002-2003,5,5,258,180,3,2/34,60.00,4.18,86.0,0,0,
GLS Scrimshaw (ENG),2023-2023,1,1,52,66,3,3/66,22.00,7.61,17.3,0,0,
KF Semple (WI),1999-1999,7,4,132,121,3,2/35,40.33,5.50,44.0,0,0,
Shahid Saeed (PAK),1989-1993,10,7,222,159,3,2/20,53.00,4.29,74.0,0,0,
L Siaka (PNG),2014-2022,47,14,240,181,3,2/33,60.33,4.52,80.0,0,0,
V Sibanda (Afr/ZIM),2003-2016,127,11,267,265,3,1/12,88.33,5.95,89.0,0,0,
D Soraine (CAN),2006-2012,4,3,113,94,3,2/57,31.33,4.99,37.6,0,0,
KR Stackpole (AUS),1971-1974,6,2,77,54,3,3/40,18.00,4.20,25.6,0,0,
LW Stott (NZ),1979-1979,1,1,72,48,3,3/48,16.00,4.00,24.0,0,0,
GP Sulzberger (NZ),2000-2000,3,3,132,102,3,1/28,34.00,4.63,44.0,0,0,
MR Swart (NED),2011-2014,12,11,366,306,3,1/21,102.00,5.01,122.0,0,0,
MJ Swepson (AUS),2022-2022,3,3,158,161,3,2/53,53.66,6.11,52.6,0,0,
Khaled Ahmed (BAN),2023-2023,2,2,80,72,3,3/60,24.00,5.40,26.6,0,0,
AR Tait (NZ),1998-1999,5,5,120,88,3,2/37,29.33,4.40,40.0,0,0,
HDRL Thirimanne (SL),2010-2019,127,4,104,94,3,2/36,31.33,5.42,34.6,0,0,
JG Thomas (ENG),1986-1987,3,3,156,144,3,2/59,48.00,5.53,52.0,0,0,
FJ Titmus (ENG),1975-1975,2,1,56,53,3,3/53,17.66,5.67,18.6,0,0,
G Toka (PNG),2019-2023,22,5,99,110,3,3/18,36.66,6.66,33.0,0,0,
MS Tshabalala (SA),2007-2007,4,4,150,151,3,1/30,50.33,6.04,50.0,0,0,
S Tyagi (IND),2009-2010,4,4,165,144,3,1/15,48.00,5.23,55.0,0,0,
JN Valentine (CAN),1979-1979,3,3,114,66,3,1/18,22.00,3.47,38.0,0,0,
Wajahatullah Wasti (PAK),1999-2000,15,3,55,69,3,3/36,23.00,7.52,18.3,0,0,
CG Williams (NAM),2019-2022,18,10,288,224,3,1/37,74.66,4.66,96.0,0,0,
LJ Woodcock (NZ),2011-2011,4,4,164,155,3,2/58,51.66,5.67,54.6,0,0,
GN Yallop (AUS),1978-1984,30,4,138,119,3,2/28,39.66,5.17,46.0,0,0,
Yasir Mohammad (USA),2022-2022,3,3,108,113,3,2/50,37.66,6.27,36.0,0,0,
Younis Khan (PAK),2000-2015,265,20,284,288,3,1/3,96.00,6.08,94.6,0,0,
Zafar Iqbal (PAK),1995-1995,8,7,198,137,3,2/37,45.66,4.15,66.0,0,0,
Zahid Ahmed (PAK),1987-1987,2,2,96,61,3,2/24,20.33,3.81,32.0,0,0,
Aamer Yamin (PAK),2015-2018,4,4,156,154,2,1/38,77.00,5.92,78.0,0,0,
Aamir Kaleem (OMA),2019-2022,3,3,101,83,2,2/30,41.50,4.93,50.5,0,0,
Abdullah Mazari (AFG),2010-2010,2,2,96,49,2,1/18,24.50,3.06,48.0,0,0,
Ahmed Shehzad (PAK),2009-2017,81,9,115,140,2,1/22,70.00,7.30,57.5,0,0,
KS Airee (NEP),2020-2022,3,3,114,109,2,2/56,54.50,5.73,57.0,0,0,
Ali Asad (UAE),2004-2004,2,2,120,73,2,2/35,36.50,3.65,60.0,0,0,
DI Allan (KENYA),2011-2013,5,4,112,80,2,1/22,40.00,4.28,56.0,0,0,
GJAF Aponso (NED),1996-1996,5,5,242,257,2,1/57,128.50,6.37,121.0,0,0,
Asad Ali (PAK),2013-2013,4,4,180,115,2,1/22,57.50,3.83,90.0,0,0,
SV Bahutule (IND),1997-2003,8,7,294,283,2,1/31,141.50,5.77,147.0,0,0,
A Balbirnie (IRE),2010-2023,103,3,60,68,2,1/26,34.00,6.80,30.0,0,0,
MRCN Bandaratilleke (SL),1998-1998,3,3,144,111,2,2/34,55.50,4.62,72.0,0,0,
Basir Ahamad (NEP),2022-2022,3,3,111,71,2,1/18,35.50,3.83,55.5,0,0,
MD Bates (NZ),2012-2012,2,2,84,52,2,1/24,26.00,3.71,42.0,0,0,
LS Bhandari (NEP),2018-2018,1,1,54,43,2,2/43,21.50,4.77,27.0,0,0,
RN Bhatia (UAE),2022-2023,2,2,89,90,2,1/43,45.00,6.06,44.5,0,0,
DR Briggs (ENG),2012-2012,1,1,60,39,2,2/39,19.50,3.90,30.0,0,0,
JE Brinkley (SCOT),1999-1999,5,3,168,117,2,1/29,58.50,4.17,84.0,0,0,
BS Browne (WI),1994-1994,4,4,180,156,2,2/50,78.00,5.20,90.0,0,0,
PH Carlson (AUS),1979-1979,4,3,168,70,2,1/21,35.00,2.50,84.0,0,0,
HL Carlyon (JER),2023-2023,5,4,180,141,2,2/38,70.50,4.70,90.0,0,0,
IM Chappell (AUS),1971-1980,16,2,42,23,2,2/14,11.50,3.28,21.0,0,0,
KJ Coetzer (SCOT),2008-2023,89,10,270,253,2,1/17,126.50,5.62,135.0,0,0,
GA Cope (ENG),1977-1978,2,2,112,35,2,1/16,17.50,1.87,56.0,0,0,
CS Cowdrey (ENG),1985-1985,3,2,52,55,2,1/3,27.50,6.34,26.0,0,0,
DJ Cullen (AUS),2006-2006,5,5,213,147,2,2/25,73.50,4.14,106.5,0,0,
D Daesrath (CAN),2012-2013,4,2,72,48,2,1/13,24.00,4.00,36.0,0,0,
RR David (CAN),2008-2010,4,4,96,74,2,2/30,37.00,4.62,48.0,0,0,
DLS de Silva (SL),1979-1979,2,2,120,54,2,2/36,27.00,2.70,60.0,0,0,
JI de Villiers (NAM),2020-2020,2,2,57,66,2,2/47,33.00,6.94,28.5,0,0,
BR Dorey (AUS),2006-2006,4,4,162,146,2,1/12,73.00,5.40,81.0,0,0,
DC Drakes (WI),2023-2023,3,3,114,73,2,2/29,36.50,3.84,57.0,0,0,
F du Plessis (SA),2011-2019,143,11,192,189,2,1/8,94.50,5.90,96.0,0,0,
CE Eksteen (SA),1991-1994,6,6,222,181,2,1/26,90.50,4.89,111.0,0,0,
D Elgar (SA),2012-2018,8,4,96,67,2,1/11,33.50,4.18,48.0,0,0,
B Fernando (SL),2021-2021,4,3,152,136,2,1/33,68.00,5.36,76.0,0,0,
KADM Fernando (SL),2003-2003,1,1,42,13,2,2/13,6.50,1.85,21.0,0,0,
MLC Foster (WI),1973-1973,2,1,30,22,2,2/22,11.00,4.40,15.0,0,0,
RC Fredericks (WI),1973-1977,12,1,10,10,2,2/10,5.00,6.00,5.0,0,0,
D Gamage (SL),2003-2003,3,3,95,83,2,1/26,41.50,5.24,47.5,0,0,
WCA Ganegama (SL),2001-2006,4,3,66,88,2,2/27,44.00,8.00,33.0,0,0,
Gazi Ashraf (BAN),1986-1990,7,3,51,33,2,1/7,16.50,3.88,25.5,0,0,
LR Gibbs (WI),1973-1975,3,3,156,59,2,1/12,29.50,2.26,78.0,0,0,
Golam Faruq (BAN),1986-1990,5,5,186,116,2,1/22,58.00,3.74,93.0,0,0,
MS Gony (IND),2008-2008,2,2,78,76,2,2/65,38.00,5.84,39.0,0,0,
TR Gripper (ZIM),2001-2003,8,6,120,76,2,2/28,38.00,3.80,60.0,0,0,
TGJ Gruijters (NED),2010-2013,5,4,120,79,2,2/37,39.50,3.95,60.0,0,0,
Hammad Azam (PAK),2011-2015,11,8,198,169,2,1/21,84.50,5.12,99.0,0,0,
AM Hardie (AUS),2023-2023,1,1,60,62,2,2/62,31.00,6.20,30.0,0,0,
SM Harwood (AUS),2009-2009,1,1,60,57,2,2/57,28.50,5.70,30.0,0,0,
MADI Hemantha (SL),2023-2023,3,2,114,99,2,2/49,49.50,5.21,57.0,0,0,
CC Henry (CAN),1979-1979,2,2,90,53,2,2/27,26.50,3.53,45.0,0,0,
O Henry (SA),1992-1992,3,3,149,125,2,1/31,62.50,5.03,74.5,0,0,
KAR Hodge (WI),2023-2023,3,3,96,103,2,2/46,51.50,6.43,48.0,0,0,
RG Holland (AUS),1985-1985,2,2,126,99,2,2/49,49.50,4.71,63.0,0,0,
MEK Hussey (AUS),2004-2012,185,13,240,235,2,1/22,117.50,5.87,120.0,0,0,
AP Igglesden (ENG),1994-1994,4,4,168,122,2,2/12,61.00,4.35,84.0,0,0,
Irfan Bhatti (PAK),1993-1993,1,1,48,22,2,2/22,11.00,2.75,24.0,0,0,
Jahangir Shah (BAN),1986-1990,5,5,234,172,2,2/23,86.00,4.41,117.0,0,0,
K Jethi (CAN),2008-2008,3,3,102,85,2,2/39,42.50,5.00,51.0,0,0,
LWS Kaluperuma (SL),1975-1982,4,4,208,137,2,1/35,68.50,3.95,104.0,0,0,
SHT Kandamby (SL),2004-2014,39,9,174,173,2,2/37,86.50,5.96,87.0,0,0,
CK Kapugedera (SL),2006-2017,102,10,264,225,2,1/24,112.50,5.11,132.0,0,0,
Khushdil Shah (PAK),2020-2022,10,3,108,122,2,1/50,61.00,6.77,54.0,0,0,
DB Kotze (NAM),2003-2003,6,6,282,256,2,1/32,128.00,5.44,141.0,0,0,
GJP Kruger (SA),2006-2006,3,3,138,139,2,1/43,69.50,6.04,69.0,0,0,
NR Kumar (CAN),2010-2014,16,2,66,63,2,2/40,31.50,5.72,33.0,0,0,
M Labuschagne (AUS),2020-2023,40,10,203,230,2,2/19,115.00,6.79,101.5,0,0,
AV Lalcheta (OMA),2019-2019,2,2,84,62,2,2/35,31.00,4.42,42.0,0,0,
Liaqat Ali (PAK),1977-1978,3,3,188,111,2,1/41,55.50,3.54,94.0,0,0,
J Louw (SA),2008-2008,3,3,156,148,2,1/45,74.00,5.69,78.0,0,0,
GD McKenzie (AUS),1971-1971,1,1,60,22,2,2/22,11.00,2.20,30.0,0,0,
K Mahato (NEP),2022-2023,2,2,78,76,2,2/55,38.00,5.84,39.0,0,0,
JS Malhotra (USA),2019-2022,18,4,102,67,2,1/17,33.50,3.94,51.0,0,0,
Mansoor Akhtar (PAK),1980-1990,41,9,138,110,2,1/7,55.00,4.78,69.0,0,0,
GC Martin (ZIM),1994-1995,5,4,132,95,2,1/15,47.50,4.31,66.0,0,0,
SC Meaker (ENG),2011-2011,2,2,114,110,2,1/45,55.00,5.78,57.0,0,0,
PHKD Mendis (SL),2019-2022,7,5,150,151,2,1/32,75.50,6.04,75.0,0,0,
Mohammed Qasim (UAE),2017-2017,5,3,120,71,2,1/13,35.50,3.55,60.0,0,0,
Morshed Ali Khan (BAN),1998-1998,3,3,138,85,2,1/26,42.50,3.69,69.0,0,0,
PV Mpitsang (SA),1999-1999,2,2,60,63,2,2/49,31.50,6.30,30.0,0,0,
J Mubarak (SL),2002-2013,40,8,129,95,2,1/10,47.50,4.41,64.5,0,0,
Muhammad Musa (PAK),2020-2020,2,2,97,101,2,2/21,50.50,6.24,48.5,0,0,
SP Mukherjee (IND),1990-1991,3,3,174,98,2,1/30,49.00,3.37,87.0,0,0,
IA Nicolson (ZIM),2010-2010,2,2,72,118,2,1/44,59.00,9.83,36.0,0,0,
Noor Ahmad (AFG),2022-2023,3,3,126,156,2,1/54,78.00,7.42,63.0,0,0,
KJ O'Keeffe (AUS),1977-1977,2,2,132,79,2,1/36,39.50,3.59,66.0,0,0,
DR O'Sullivan (NZ),1974-1976,3,3,168,123,2,1/38,61.50,4.39,84.0,0,0,
KH Pandya (IND),2021-2021,5,5,228,223,2,1/26,111.50,5.86,114.0,0,0,
Pargat Singh (CAN),2023-2023,5,3,84,61,2,1/20,30.50,4.35,42.0,0,0,
Parvez Rasool (IND),2014-2014,1,1,60,60,2,2/60,30.00,6.00,30.0,0,0,
RR Patel (KENYA),2008-2014,39,7,168,135,2,1/14,67.50,4.82,84.0,0,0,
R Pathan (CAN),2013-2013,1,1,36,50,2,2/50,25.00,8.33,18.0,0,0,
J Patraj (CAN),2007-2007,2,2,90,76,2,1/27,38.00,5.06,45.0,0,0,
HSM Pieris (SL),1975-1975,3,3,132,135,2,2/68,67.50,6.13,66.0,0,0,
MJ Potts (ENG),2022-2023,3,2,66,80,2,2/47,40.00,7.27,33.0,0,0,
Pratis GC (NEP),2023-2023,3,3,126,90,2,1/37,45.00,4.28,63.0,0,0,
NV Radford (ENG),1988-1988,6,6,348,230,2,1/32,115.00,3.96,174.0,0,0,
P Raho (PNG),2014-2014,1,1,45,32,2,2/32,16.00,4.26,22.5,0,0,
WV Raman (IND),1988-1996,27,7,162,170,2,1/23,85.00,6.29,81.0,0,0,
AN Ranasinghe (SL),1975-1982,9,8,324,281,2,1/21,140.50,5.20,162.0,0,0,
NLK Ratnayake (SL),1989-1990,2,2,101,98,2,1/39,49.00,5.82,50.5,0,0,
GJ Rennie (ZIM),1996-2003,40,4,90,75,2,1/17,37.50,5.00,45.0,0,0,
CEB Rice (SA),1991-1991,3,3,138,114,2,1/46,57.00,4.95,69.0,0,0,
EJ Richardson (IRE),2013-2013,2,2,66,54,2,2/39,27.00,4.90,33.0,0,0,
Rizwan Latif (UAE),2004-2004,1,1,54,69,2,2/69,34.50,7.66,27.0,0,0,
Robiul Islam (BAN),2013-2013,3,3,133,117,2,1/21,58.50,5.27,66.5,0,0,
LN Roche (ZIM),2018-2018,3,3,138,157,2,1/54,78.50,6.82,69.0,0,0,
Rokhan Barakzai (AFG),2015-2015,1,1,60,45,2,2/45,22.50,4.50,30.0,0,0,
Saadat Ali (PAK),1984-1984,8,2,27,29,2,2/24,14.50,6.44,13.5,0,0,
Sadiq Mohammad (PAK),1973-1980,19,2,38,26,2,2/20,13.00,4.10,19.0,0,0,
Sajjad Akbar (PAK),1990-1990,2,1,60,45,2,2/45,22.50,4.50,30.0,0,0,
C Sakariya (IND),2021-2021,1,1,48,34,2,2/34,17.00,4.25,24.0,0,0,
T Sangha (AUS),2023-2023,2,2,108,125,2,1/61,62.50,6.94,54.0,0,0,
KR Sen (IND),2022-2022,1,1,30,37,2,2/37,18.50,7.40,15.0,0,0,
RB Simpson (AUS),1978-1978,2,2,102,95,2,2/30,47.50,5.58,51.0,0,0,
L Sipamla (SA),2020-2021,5,4,182,172,2,1/40,86.00,5.67,91.0,0,0,
CL Smith (ENG),1984-1984,4,2,36,28,2,2/8,14.00,4.66,18.0,0,0,
S Snater (NED),2018-2022,4,4,150,188,2,1/41,94.00,7.52,75.0,0,0,
Sohail Butt (UAE),1994-1994,2,2,78,79,2,2/52,39.50,6.07,39.0,0,0,
RW Staple (USA),2004-2004,2,1,60,76,2,2/76,38.00,7.60,30.0,0,0,
PC Strydom (SA),2000-2000,10,7,252,206,2,1/18,103.00,4.90,126.0,0,0,
